POBLACION,CVEGEO
0,
35,"1901900010191025"
60,"1901900010191012"
25,"1901900010204034"
13,"1901900010204028"
53,"1901900010168019"
69,190190001005A011
24,190190001005A019
110,"1901900010238024"
64,"1901900010219008"
104,"1901900010219020"
66,190190001037A030
184,"1901900010539004"
117,"1901900010539024"
0,"1901900010543033"
59,"1901900010539027"
488,"1901900010577025"
39,"1901900010543039"
0,"1901900010543040"
83,"1901900010492031"
95,"1901900010539020"
152,"1901900010026002"
51,"1901900010168002"
0,"1901900010539017"
0,"1901900010539028"
60,"1901900010539015"
30,"1901900010577054"
65,"1901900010577060"
60,"1901900010543026"
14,"1901900010416037"
135,"1901900010134042"
0,
64,"1901900010543030"
112,"1901900010064005"
75,"1901900010223020"
12,"1901900010558047"
85,"1901900010153026"
150,"1901900010558031"
11,"1901900010191006"
46,"1901900010153014"
26,"1901900010187060"
8,"1901900010187061"
34,"1901900010187057"
448,"1901900010331009"
430,"1901900010331014"
75,"1901900010191031"
54,"1901900010204037"
64,"1901900010539030"
35,"1901900010204029"
111,190190001005A014
0,"1901900010543007"
85,"1901900010115030"
32,"1901900010539005"
0,"1901900010543011"
211,"1901900010026023"
188,"1901900010011015"
63,"1901900010219017"
29,"1901900010505022"
34,190190001005A004
330,"1901900010331013"
94,"1901900010327024"
111,"1901900010312001"
48,"1901900010219003"
46,"1901900010168029"
0,"1901900010505024"
72,"1901900010219038"
94,190190001005A020
42,"1901900010168021"
61,190190001005A031
20,"1901900010219039"
0,"1901900010191029"
31,"1901900010191021"
96,"1901900010488027"
250,"1901900010204049"
28,"1901900010191017"
83,"1901900010191008"
34,"1901900010168007"
141,"1901900010223005"
87,"1901900010064031"
41,"1901900010223009"
48,"1901900010064036"
0,"1901900010223050"
97,"1901900010134036"
121,"1901900010327034"
146,"1901900010026049"
227,"1901900010327031"
0,"1901900010327052"
84,"1901900010026051"
65,"1901900010539025"
50,"1901900010026043"
67,"1901900010187063"
31,"1901900010153036"
76,"1901900010204033"
51,"1901900010204013"
82,"1901900010204023"
91,"1901900010026050"
88,"1901900010026016"
53,"1901900010026042"
0,"1901900010327053"
166,"1901900010327032"
137,"1901900010327029"
234,"1901900010327033"
138,"1901900010327030"
87,"1901900010327058"
0,"1901900010327059"
0,"1901900010331051"
64,"1901900010488043"
99,"1901900010134039"
14,"1901900010083040"
240,"1901900010238019"
0,
118,190190001005A025
53,"1901900010168013"
36,"1901900010219021"
0,
75,"1901900010219011"
213,"1901900010327004"
263,"1901900010327005"
241,"1901900010327006"
239,"1901900010327007"
141,"1901900010011014"
155,"1901900010011013"
148,"1901900010011012"
92,"1901900010011022"
0,"1901900010011033"
67,"1901900010115033"
65,"1901900010543018"
0,
29,"1901900010064010"
4,"1901900010083041"
56,"1901900010079023"
38,"1901900010280037"
89,"1901900010079013"
47,"1901900010242010"
77,"1901900010172002"
56,"1901900010242021"
66,"1901900010492032"
7,"1901900010558010"
73,"1901900010581019"
96,"1901900010581030"
69,"1901900010581016"
73,"1901900010581021"
26,"1901900010223034"
20,"1901900010083021"
41,"1901900010242017"
20,"1901900010083018"
65,190190001005A015
44,190190001051A043
43,190190001005A038
13,"1901900010384022"
66,"1901900010100018"
51,"1901900010257009"
0,"1901900010257019"
69,"1901900010257002"
150,"1901900010261010"
0,
74,"1901900010168005"
0,
150,"1901900010191034"
114,"1901900010204040"
0,
65,"1901900010219032"
49,"1901900010219025"
53,190190001005A018
37,"1901900010242005"
49,"1901900010172010"
36,"1901900010098019"
6,"1901900010454008"
0,
27,"1901900010083034"
0,
99,"1901900010469015"
45,"1901900010261034"
13,"1901900010083001"
0,
96,"1901900010242039"
17,"1901900010083028"
60,"1901900010280007"
13,"1901900010079035"
42,190190001012A007
5,190190001012A008
41,"1901900010505012"
79,"1901900010543028"
25,"1901900010100026"
80,"1901900010257007"
59,"1901900010187018"
0,
23,"1901900010492011"
70,"1901900010492013"
31,"1901900010492015"
48,"1901900010492016"
0,"1901900010577026"
31,"1901900010577027"
79,"1901900010577028"
54,190190001051A001
189,"1901900010242049"
39,"1901900010098004"
44,"1901900010098024"
32,"1901900010098021"
46,"1901900010420002"
19,"1901900010469042"
70,"1901900010543024"
16,190190001012A009
57,"1901900010187040"
159,"1901900010204007"
55,"1901900010543020"
5,"1901900010261061"
140,190190001037A008
81,"1901900010543017"
71,"1901900010543015"
68,"1901900010543027"
58,"1901900010204039"
37,"1901900010187053"
0,"1901900010454010"
55,190190001037A032
62,"1901900010543016"
71,"1901900010543013"
155,"1901900010420001"
89,"1901900010083030"
4,190190001051A014
91,"1901900010083037"
42,"1901900010172015"
70,"1901900010079032"
18,"1901900010098002"
0,"1901900010280064"
33,"1901900010083005"
71,"1901900010242037"
45,"1901900010083011"
13,"1901900010079036"
0,"1901900010172035"
44,"1901900010242011"
59,190190001051A016
0,
0,
18,"1901900010153010"
0,"1901900010577040"
92,"1901900010492004"
38,"1901900010577065"
30,"1901900010100028"
29,"1901900010257008"
65,"1901900010257014"
25,"1901900010100027"
43,"1901900010257020"
10,"1901900010454011"
133,"1901900010134014"
35,"1901900010204027"
17,"1901900010168027"
57,190190001005A012
47,"1901900010204012"
29,"1901900010083027"
48,"1901900010083013"
30,"1901900010242024"
31,"1901900010079024"
40,"1901900010242015"
4,"1901900010083020"
138,"1901900010280002"
62,"1901900010280008"
14,"1901900010242006"
121,"1901900010543036"
0,
0,
0,
0,
0,
0,
79,"1901900010492030"
115,"1901900010134001"
24,"1901900010168031"
152,"1901900010219007"
63,"1901900010204026"
52,190190001005A030
180,"1901900010223006"
52,"1901900010100033"
62,"1901900010257022"
75,"1901900010223048"
0,"1901900010187012"
164,"1901900010187013"
42,"1901900010083010"
57,"1901900010083009"
0,
58,"1901900010168030"
35,"1901900010191018"
96,"1901900010505011"
0,
0,
0,
0,
0,
54,"1901900010492037"
0,"1901900010492009"
0,"1901900010577018"
69,"1901900010577020"
43,"1901900010577021"
0,"1901900010577019"
6,"1901900010492002"
35,"1901900010492005"
144,"1901900010187025"
73,"1901900010100004"
0,"1901900010257012"
66,"1901900010100032"
68,"1901900010100009"
51,"1901900010238034"
68,"1901900010238017"
8,"1901900010187009"
32,190190001044A040
78,"1901900010280015"
73,"1901900010168032"
50,190190001005A008
39,"1901900010219034"
145,"1901900010238006"
48,"1901900010064013"
41,"1901900010238001"
63,"1901900010172030"
383,"1901900010469067"
24,"1901900010204036"
69,"1901900010168015"
34,"1901900010238028"
57,"1901900010168020"
16,"1901900010168028"
0,"1901900010577050"
46,190190001005A002
24,"1901900010219018"
96,"1901900010168023"
28,"1901900010492007"
0,
0,"1901900010488017"
0,
0,"1901900010577022"
0,"1901900010223017"
76,"1901900010543023"
175,"1901900010064004"
130,"1901900010115005"
19,"1901900010242031"
74,"1901900010115026"
93,"1901900010581020"
87,"1901900010581025"
29,190190001044A038
40,190190001044A041
32,"1901900010098028"
44,"1901900010098003"
35,"1901900010098001"
44,"1901900010238032"
147,"1901900010223049"
52,"1901900010153025"
65,"1901900010153024"
55,"1901900010577036"
42,"1901900010153033"
29,"1901900010153034"
26,"1901900010153035"
60,"1901900010153023"
93,"1901900010153044"
106,"1901900010153007"
9,"1901900010153006"
77,"1901900010153008"
60,"1901900010505049"
66,"1901900010219033"
0,"1901900010134044"
14,"1901900010505030"
14,"1901900010153027"
36,"1901900010187032"
68,"1901900010505036"
67,"1901900010168016"
61,"1901900010168001"
39,"1901900010204008"
33,"1901900010261032"
40,"1901900010098008"
48,"1901900010098007"
61,"1901900010064041"
96,"1901900010079019"
29,"1901900010242056"
21,"1901900010242004"
16,"1901900010083017"
17,"1901900010100021"
69,"1901900010153011"
51,"1901900010064006"
46,"1901900010172031"
89,"1901900010064007"
0,"1901900010331023"
35,"1901900010331053"
113,"1901900010064042"
95,"1901900010219010"
62,"1901900010238013"
76,190190001005A003
3,"1901900010219029"
125,"1901900010488013"
3,"1901900010488016"
38,190190001005A005
57,"1901900010204025"
57,190190001005A032
48,190190001005A029
68,"1901900010219014"
61,"1901900010168008"
31,"1901900010204018"
32,190190001005A024
145,"1901900010204022"
23,"1901900010168018"
0,"1901900010204042"
0,"1901900010064021"
69,"1901900010064011"
49,"1901900010064043"
91,"1901900010064034"
0,
65,"1901900010280028"
106,"1901900010153009"
109,"1901900010238029"
73,"1901900010238015"
118,"1901900010539011"
204,"1901900010539026"
137,190190001051A003
156,"1901900010168014"
94,"1901900010219013"
76,"1901900010204017"
66,"1901900010204024"
61,190190001051A007
77,"1901900010543019"
50,"1901900010416034"
4,"1901900010543012"
0,"1901900010543032"
121,"1901900010134005"
0,
46,"1901900010064032"
0,
127,"1901900010223013"
68,"1901900010064008"
31,"1901900010223001"
61,"1901900010223052"
53,"1901900010223004"
90,"1901900010238003"
19,"1901900010172011"
14,190190001051A030
51,"1901900010219031"
91,"1901900010581029"
60,"1901900010543014"
0,"1901900010543037"
73,"1901900010191038"
0,
54,"1901900010492034"
10,"1901900010488019"
3,"1901900010492001"
0,
136,190190001005A037
54,"1901900010172028"
59,"1901900010223019"
97,"1901900010064026"
141,"1901900010187062"
0,"1901900010204031"
0,"1901900010242029"
123,"1901900010079012"
39,"1901900010242014"
98,"1901900010083004"
6,190190001051A013
86,"1901900010079033"
30,"1901900010064028"
38,"1901900010064017"
105,"1901900010064040"
111,"1901900010191028"
23,"1901900010153038"
0,
17,"1901900010505013"
76,"1901900010191035"
47,"1901900010168006"
8,"1901900010223042"
0,
73,"1901900010219026"
58,"1901900010100002"
51,"1901900010223038"
53,"1901900010401006"
0,
177,"1901900010064039"
51,190190001051A023
19,"1901900010558017"
315,"1901900010223033"
50,"1901900010223024"
0,"1901900010488029"
106,"1901900010115027"
60,"1901900010115028"
61,"1901900010115029"
53,190190001012A021
46,190190001012A022
70,"1901900010492018"
72,"1901900010492020"
25,190190001012A023
83,190190001012A024
105,"1901900010581026"
43,"1901900010115019"
74,"1901900010204019"
0,"1901900010577037"
35,"1901900010204002"
201,"1901900010204016"
47,190190001005A033
99,"1901900010219019"
0,"1901900010488034"
19,"1901900010558004"
513,"1901900010492038"
43,"1901900010492028"
46,"1901900010238008"
53,190190001051A009
83,190190001044A011
53,"1901900010238002"
59,"1901900010064024"
64,"1901900010238007"
51,"1901900010064012"
59,190190001044A039
22,190190001044A035
10,190190001044A037
202,"1901900010488026"
0,"1901900010134006"
45,"1901900010219005"
78,"1901900010219006"
19,"1901900010219001"
41,"1901900010191003"
65,"1901900010558044"
40,"1901900010168025"
121,"1901900010581027"
58,"1901900010581022"
30,"1901900010384023"
52,"1901900010064037"
87,"1901900010577024"
34,"1901900010492010"
137,"1901900010543001"
37,"1901900010539018"
73,"1901900010026003"
91,"1901900010026052"
9,"1901900010492008"
12,"1901900010492012"
42,"1901900010577023"
41,"1901900010242018"
87,"1901900010079014"
8,"1901900010242002"
0,"1901900010098006"
19,"1901900010238010"
1,"1901900010384008"
0,
0,
36,"1901900010204041"
0,
77,"1901900010581024"
0,190190001012A025
161,"1901900010581001"
154,"1901900010581002"
110,"1901900010581003"
124,"1901900010280010"
50,"1901900010153037"
62,190190001005A009
96,"1901900010172027"
41,"1901900010168033"
139,190190001005A021
0,
