CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010026016","19","019","0001","0026","016",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","16","95","54","41","3","3","0","91","51","40","87","49","38","78","43","35","77","42","35","75","42","33","5","3",*,"8","5","3","6","4",*,*,*,"0",*,"0",*,"6","3","3","17","32","22","10","75.93","17","59","18","27","27","15","15","27","0","0","0.75","3.52","95","27","19","16","21","25","23","15","13","0","0","3","0","2973"
"1901900010026014","19","019","0001","0026","014",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","14","60","25","35","0","0","0","60","25","35","58","25","33","54","24","30","53","23","30","51","23","28",*,"0",*,"4",*,"3","5",*,"3",*,*,"0",*,"0",*,"5",*,"3","12","15","8","7","140","7","43","10","19","19","16","16","19","0","0","0.65","3.16","60","17","10","11","14","17","15","10","7",*,*,"4",*,"2306"
"1901900010026013","19","019","0001","0026","013",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","13","45","21","24",*,*,*,"43","20","23","43","20","23","41","18","23","40","18","22","36","16","20","0","0","0",*,*,"0",*,*,*,*,"0",*,"4",*,*,"5",*,"3","11","10","5","5","114.29","5","32","8","13","10","11","8","10","3","0","0.82","4.5","45","10","3",*,"9","8","8","6",*,"0","0",*,"0","1813"
"1901900010026012","19","019","0001","0026","012",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","12","202","97","105","15","7","8","187","90","97","181","85","96","159","74","85","153","71","82","147","70","77","10","6","4","18","10","8","18","11","7","6","3","3","6",*,"5","34","14","20","51","29","18","11","108.25","49","135","18","52","51","50","49","51",*,"0","0.99","3.96","202","49","32","18","23","46","24","12","7",*,*,"24","0","5513"
"1901900010026011","19","019","0001","0026","011",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0026","11","173","94","79","10","4","6","163","90","73","157","87","70","146","82","64","137","76","61","127","70","57","7","3","4","10","5","5","15","9","6","9","6","3","10","6","4","23","11","12","51","34","21","13","84.04","36","110","27","44","42","42","40","42",*,"0","0.96","4.12","173","38","25","12","22","36","29","13","3",*,*,"12","0","4473"
"1901900010011021","19","019","0001","0011","021",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","21","137","64","73",*,"0",*,"135","64","71","132","62","70","118","56","62","113","53","60","107","49","58","3",*,*,"14","6","8","15","7","8","5","3",*,"6","4",*,"13","4","9","29","32","17","15","114.06","24","88","25","39","35","39","35","35",*,*,"0.91","3.91","137","34","25","10","18","27","17","12","5",*,"4","18","0","4819"
"1901900010011020","19","019","0001","0011","020",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","20","171","84","87","11","7","4","160","77","83","157","76","81","145","70","75","140","66","74","137","65","72","6",*,"5","9","6","3","13","10","3","5","4",*,"3",*,*,"33","16","17","42","36","19","17","103.57","31","108","32","45","44","43","42","44",*,"0","0.92","3.89","171","43","30","8","24","39","27","9","4","0",*,"17","0","4475"
"1901900010011018","19","019","0001","0011","018",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","18","141","69","72","6","3","3","135","66","69","133","66","67","115","59","56","106","53","53","96","48","48","3","0","3","17","7","10","18","8","10","9","6","3","10","5","5","17","8","9","35","25","14","11","104.35","35","87","19","35","35","31","31","35","0","0","0.9","4.03","141","33","26","11","22","25","22","8",*,*,"4","13",*,"3919"
"1901900010011017","19","019","0001","0011","017",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","17","204","105","99","6","5",*,"198","100","98","194","98","96","174","92","82","159","82","77","151","79","72","7",*,"5","17","6","11","24","11","13","15","10","5","8","3","5","26","10","16","52","39","24","15","94.29","45","132","27","46","44","43","41","44",*,"0","0.97","4.64","204","42","23","8","21","39","26","15","7",*,"3","17","0","4816"
"1901900010011016","19","019","0001","0011","016",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0011","16","181","94","87","4","3",*,"177","91","86","174","89","85","153","79","74","143","73","70","134","67","67","7","5",*,"17","7","10","19","11","8","10","6","4","9","6","3","19","10","9","47","36","18","18","92.55","38","121","22","48","46","48","46","46",*,*,"0.95","3.93","181","44","37","15","25","41","24","23","7",*,*,"21","0","4782"
