REGION,MANZANA,LOTE,SHAPE_AREA,NOMBRE_COL,CALLE,NIVELES,US_ACT2020,RML
"25","062","014",106.3921463807,,FIERRO L14 M62 UNID SN PEDRO,"1",HU,25 062 014
"25","062","016",110.4658806927,,MERCURIO L16 M62,"2",C,25 062 016
"25","051","011",115.0114288,SAN PEDRO,MANGANESO 107,"2",HU,25 051 011
"25","051","014",159.285289267,,MANGANESO L14 M51,"2",HU,25 051 014
"25","063","014",112.9603616484,SAN PEDRO,MERCURIO 205,"1",S,25 063 014
"30","026","001",192.6419855637,VALLE DE VASCONCELOS,,"2",HU,30 026 001
"30","010","042",90.44278267186,,CALLE 4 L42 M10,"1",HU,30 010 042
"30","010","039",80.14845500797,,CALLE 4 L39 M10,"2",HU,30 010 039
"30","010","029",73.98008149171,GARZA AYALA,PRISCILIANO SILLER 194,"2",HU,30 010 029
"30","025","020",73.54254334888,GRAL GARZA AYALA,CALLE 4 L20 M25,"2",HU,30 025 020
"30","033","002",197.9878209943,VALLE DE VASCONCELOS,JUSTO SIERRA 102,"2",HU,30 033 002
"30","033","019",214.7476472297,VALLE DE VASCONCELOS,JUSTO SIERRA 136,"2",HU,30 033 019
"30","033","021",173.7493529046,VALLE DE VASCONCELOS,JUSTO SIERRA 140,"2",HU,30 033 021
"30","033","023",131.6062285477,VALLE DE VASCONCELOS,JUSTO SIERRA 144,"2",HU,30 033 023
"30","033","003",172.824252359,VALLE DE VASCONCELOS,JUSTO SIERRA 104,"0",HU,30 033 003
"30","033","004",174.9183502046,VALLE DE VASCONCELOS,JUSTO SIERRA 106,"0",HU,30 033 004
"30","033","005",177.0076553878,VALLE DE VASCONCELOS,JUSTO SIERRA 108,"0",HU,30 033 005
"30","033","006",173.7997599319,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 110,"2",HU,30 033 006
"30","033","007",173.840245079,VALLE DE VASCONCELOS,JUSTO SIERRA 112,"2",HU,30 033 007
"30","033","010",177.2068909876,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 118,"0",HU,30 033 010
"30","033","011",179.4105254984,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 120,"0",HU,30 033 011
