REGION,MANZANA,LOTE,SHAPE_Area,RML,NOMBRE_COL,CALLE,NIVELES,US_ACT2016
"25","063","004",114.086588285,25 063 004,UNIDAD SAN PEDRO,MANGANESO 208,"2",HU
"25","063","016",151.598799958,25 063 016,UNIDAD SAN PEDRO,FIERRO L16 M63,"2",HU
"25","063","022",105.574058283,25 063 022,UNIDAD SAN PEDRO,FIERRO L22 M63,"2",HU
"25","063","001",113.581170495,25 063 001,,MANGANESO L1 M63,"2",HU
"25","051","005",115.816068775,25 051 005,UNIDAD SAN PEDRO,FIERRO 104,"2",HU
"25","051","020",144.484555122,25 051 020,UNIDAD SAN PEDRO,CROMO L20 M51,"2",HU
"25","051","013",122.454134707,25 051 013,U SAN PEDRO,MANGANESO 103,"2",HU
"25","051","015",136.577181271,25 051 015,UNIDAD SAN PEDRO,CROMO 113,"2",HU
"25","051","012",122.043075052,25 051 012,,MANGANESO L12 M51,"2",HU
"25","051","010",116.127600784,25 051 010,SAN PEDRO,FIERRO 114,"2",HU
"25","051","009",110.510134512,25 051 009,UNIDAD SAN PEDRO,FIERRO 112,"2",HU
"25","051","016",134.958902499,25 051 016,,CROMO L16 M51 UNIDAD SN PED,"1",C
"25","051","008",113.701407224,25 051 008,,FIERRO L8 M51 UNIDAD SN PED,"2",HU
"25","051","017",140.629339753,25 051 017,,CROMO L17 M51 UNI SN PEDRO,"2",HU
"25","051","018",138.995763747,25 051 018,UNIDAD SAN PEDRO,CROMO 107,"2",HU
"25","051","007",112.763169906,25 051 007,UNIDAD SAN PEDRO,FIERRO 108,"2",HU
"25","063","012",107.56000474,25 063 012,UNIDAD SAN PEDRO,ORO 218,"2",HU
"25","063","006",104.587316448,25 063 006,,ORO L6 M63,"2",S
"25","063","025",104.007082515,25 063 025,,FIERRO L25 M63,"2",HU
"25","063","024",103.723559568,25 063 024,,FIERRO L24 M63,"1",HU
"25","063","007",106.639089909,25 063 007,,ORO L7 M63,"2",HU
"25","063","023",105.99514773,25 063 023,,FIERRO L23 M63,"1",HU
"25","063","008",107.626838472,25 063 008,UNIDAD SAN PEDRO,ORO 210,"2",S
"25","063","009",104.078959736,25 063 009,,ORO L9 M63,"2",HU
"25","063","021",101.907277665,25 063 021,,FIERRO L21 M63,"2",HU
"25","063","010",105.779102103,25 063 010,,ORO L10 M63,"2",HU
"25","063","020",104.901939046,25 063 020,UNIDAD SAN PEDRO,FIERRO L20 M63,"2",HU
"25","063","011",104.228757124,25 063 011,SAN PEDRO,ORO 216,"2",HU
"25","051","019",141.493406998,25 051 019,UNIDAD SAN PEDRO,CROMO L19 M51,"1",HU
"25","051","006",110.196438572,25 051 006,,FIERRO L6 M51 UNIDAD SN PED,"2",HU
"25","062","028",142.897744934,25 062 028,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L28 M62,"2",C
"25","062","006",136.922348343,25 062 006,,FIERRO L6 M62 UNIDAD SN PED,"2",HU
"25","062","019",118.234018699,25 062 019,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L19 M62,"2",HU
"25","062","020",137.18918094,25 062 020,,20 DE NOVIEMBRE 219,"2",HU
"25","062","017",103.843976412,25 062 017,SAN PEDRO,MERCURIO 103,"2",HU
"25","062","022",108.757404763,25 062 022,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L22 M62,"2",C
"25","062","003",115.181249339,25 062 003,UNIDAD SAN PEDRO,MANGANESO 106,"2",HU
"25","062","015",110.374560344,25 062 015,,FIERRO L15 M62 UNID SN PEDRO,"2",HU
"25","062","002",115.300983369,25 062 002,,MANGANESO 104 UNIDAD SN PEDRO,"2",M1
"25","062","004",115.113942034,25 062 004,SAN PEDRO,MANGANESO 108,"2",HU
"25","062","013",107.190573784,25 062 013,UNIDAD SAN PEDRO,FIERRO 218,"1",HU
"25","062","011",115.565717694,25 062 011,,FIERRO L11 M62 UNIDAD SN PE,"1",HU
"25","062","010",119.750351786,25 062 010,UNIDAD SAN PEDRO,FIERRO L10 M62,"1",HU
"25","062","023",116.020555238,25 062 023,UNIDAD SAN PEDRO,20 DE NOVIEMBRE 213,"2",HU
"25","062","009",125.07173065,25 062 009,UNIDAD SAN PEDRO,FIERRO L9 M62,"1",HU
"25","062","025",129.794461255,25 062 025,UNIDAD SAN PEDRO,20 DE NOVIEMBRE 209,"2",C
"25","062","008",125.911035616,25 062 008,UNIDAD NORIA SUR,FIERRO L8 M62,"2",HU
"25","062","007",132.62394981,25 062 007,,FIERRO L7 M62 UNIDAD SN PED,"2",HU
"25","062","026",135.378843339,25 062 026,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L26 M62,"2",HU
"25","062","027",141.573307126,25 062 027,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L27 M62,"2",HU
"25","062","024",119.576624757,25 062 024,UNIDAD SAN PEDRO,20 DE NOVIEMBRE 211,"2",HU
"25","063","015",103.129141826,25 063 015,,MERCURIO 203 V SN PEDRO,"2",HU
"25","063","002",110.307944833,25 063 002,,MANGANESO L2 M63,"2",HU
"25","063","026",103.896356128,25 063 026,,FIERRO 203,"2",HU
"25","063","003",115.790302181,25 063 003,,MANGANESO L3 M63,"3",M1
"25","063","005",104.918432581,25 063 005,SAN PEDRO,ORO 204,"3",HU
"25","063","017",108.892535423,25 063 017,UNIDAD SAN PEDRO,FIERRO 221,"2",HU
"25","063","018",104.643269075,25 063 018,,FIERRO L18 M63,"2",HU
"25","063","013",104.818450067,25 063 013,SAN PEDRO,ORO L13 M63,"2",HU
"25","063","019",107.284938583,25 063 019,UNIDAD SAN PEDRO,FIERRO 217,"2",HU
"06","009","004",1316.35545667,06 009 004,,,"0",C
"06","009","002",659.066500865,06 009 002,,,"0",C
"06","008","002",43921.0130017,06 008 002,ZONA INDUSTRIAL,CARRETERA A SALTILLO 1011,"0",IND
"25","062","001",202.1493652,25 062 001,SAN PEDRO,MANGANESO L1 M62,"2",HU
"25","062","018",208.454728725,25 062 018,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L18 M62,"2",S
"25","062","012",106.884311705,25 062 012,,FIERRO L12 M62 UNIDAD SN PE,"2",HU
"25","062","005",111.805594205,25 062 005,UNIDAD SAN PEDRO,MANGANESO 110,"2",HU
"25","062","014",106.392146384,25 062 014,,FIERRO L14 M62 UNID SN PEDRO,"1",HU
"25","062","016",110.465880702,25 062 016,,MERCURIO L16 M62,"2",C
"25","051","011",115.011428813,25 051 011,SAN PEDRO,MANGANESO 107,"2",HU
"25","051","014",159.285289266,25 051 014,,MANGANESO L14 M51,"2",HU
"25","063","014",112.960361655,25 063 014,SAN PEDRO,MERCURIO 205,"1",S
"30","026","001",192.641985583,30 026 001,VALLE DE VASCONCELOS,,"2",HU
"30","010","042",90.4427826702,30 010 042,,CALLE 4 L42 M10,"1",HU
"30","010","039",80.1484550184,30 010 039,,CALLE 4 L39 M10,"2",HU
"30","010","029",73.9800814965,30 010 029,GARZA AYALA,PRISCILIANO SILLER 194,"2",HU
"30","025","020",73.5425433332,30 025 020,GRAL GARZA AYALA,CALLE 4 L20 M25,"2",HU
"30","033","002",197.987821001,30 033 002,VALLE DE VASCONCELOS,JUSTO SIERRA 102,"2",HU
"30","033","019",214.747647235,30 033 019,VALLE DE VASCONCELOS,JUSTO SIERRA 136,"2",HU
"30","033","021",173.749352895,30 033 021,VALLE DE VASCONCELOS,JUSTO SIERRA 140,"2",HU
"30","033","023",131.606228555,30 033 023,VALLE DE VASCONCELOS,JUSTO SIERRA 144,"2",HU
"30","033","003",172.824252368,30 033 003,VALLE DE VASCONCELOS,JUSTO SIERRA 104,"0",HU
"30","033","004",174.918350233,30 033 004,VALLE DE VASCONCELOS,JUSTO SIERRA 106,"0",HU
"30","033","005",177.00765537,30 033 005,VALLE DE VASCONCELOS,JUSTO SIERRA 108,"0",HU
"30","033","006",173.799759945,30 033 006,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 110,"2",HU
"30","033","007",173.840245106,30 033 007,VALLE DE VASCONCELOS,JUSTO SIERRA 112,"2",HU
"30","033","010",177.206890988,30 033 010,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 118,"0",HU
"30","033","011",179.410525508,30 033 011,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 120,"0",HU
"30","010","014",80.9029411078,30 010 014,GARZA AYALA,,"2",HU
"30","010","013",81.050360312,30 010 013,GARZA AYALA,J SILLER 162,"2",HU
"30","010","012",79.74518508,30 010 012,,P SILLER 160 GARZA AYALA,"2",HU
