REGION,MANZANA,LOTE,SHAPE_Area,RML,NOMBRE_COL,CALLE,NIVELES,US_ACT2016
"01","199","011",256.330839607,01 199 011,DEL VALLE,RIO DE LA PLATA 605,"2",M1
"01","199","001",103.62011508,01 199 001,DEL VALLE,RIO DE LA PLATA 605,"1",S
"01","199","013",137.113813752,01 199 013,VALLE,RIO DE LA PLATA 600,"1",S
"01","199","014",152.566539068,01 199 014,DEL VALLE,RIO DE LA PLATA 601,"1",S
"01","104","004",2705.3450181,01 104 004,DEL VALLE,HUMBERTO LOBO 104,"1",HU
"01","104","002",5335.01258577,01 104 002,,RIO MARNE 108,"1",HU
"14","005","015",498.830103332,14 005 015,FUENTES DEL VALLE,PRIVADA L15 M3,"0",BU
"14","005","016",525.293686377,14 005 016,FUENTES DEL VALLE,TIBURTINA Y CALLE PRIVADA L16 M5,"0",BU
"14","008","001",618.580591713,14 008 001,,CORNELIA Y TRIUMPHALIS,"2",HU
"14","008","013",1563.28342249,14 008 013,,AV F DEL VALLE 317,"1",HU
"14","005","010",410.478386096,14 005 010,FUENTES DEL VALLE,VIA TIBURTINA PTE 419,"2",HU
"14","005","011",411.957297295,14 005 011,FUENTES DEL VALLE,VIA TIBURTINA PTE 419,"2",HU
"14","005","018",477.942212941,14 005 018,FUENTES DEL VALLE,VIA TIBURTINA Y PRIVADA L18 M5,"0",BU
"14","005","017",444.428366171,14 005 017,FUENTES DEL VALLE,CALLE PRIVADA L17 M5,"0",BU
"09","016","063",756.046353369,09 016 063,,DOBLADO,"1",HU
"09","016","064",627.507310373,09 016 064,,DOBLADO,"2",HU
"05","033","001",504.355682585,05 033 001,,,"0",HU
"05","016","018",129.082621152,05 016 012,SAN PEDRO,VASCONCELOS 1270,"1",S
"05","028","009",470.646052825,05 028 009,CENTRO,LAZARO GARZA AYALA OTE 1402,"2",HU
"05","028","034",418.949928241,05 028 034,SAN PEDRO,DOBLADO SUR 209,"3",HM
"05","035","030",995.620496773,05 035 030,SAN PEDRO,GALEANA Y G PRIETO 326,"2",EU
"05","035","032",301.189513514,05 035 032,SAN PEDRO,GUILLERMO PRIETO 357,"2",S
"05","070","008",729.872359694,05 070 008,,GUILLERMO PREITO,"0",BU
"05","070","011",317.055416299,05 070 011,,,"0",HU
"05","070","012",313.909250591,05 070 012,,,"0",BU
"05","070","021",398.46136249,05 070 012,,2 DE ABRIL Y G PRIETO,"0",BU
"05","075","002",1063.56851528,05 075 002,,,"0",HU
"05","075","004",845.216618363,05 075 004,,PUEBLA,"1",HU
"05","075","010",1595.47856446,05 075 010,PALO BLANCO,PUEBLA,"2",HU
"03","011","004",1224.35502355,03 011 004,,16 DE SEPTIEMBRE Y MORELOS,"2",HU
"03","011","005",805.199235826,03 011 005,,,"0",BU
"03","012","001",174.788799389,03 012 001,,MORELOS Y GALEANA 201,"1",HU
"03","012","003",185.512227008,03 012 003,,GALEANA Y MORELOS 203,"2",M1
"03","022","016",74.5910089403,03 022 016,,JUAREZ INTERIOR,"2",HU
"03","022","008",320.657773771,03 022 008,,JUAREZ 615,"2",HU
"01","049","010",751.201340525,01 049 012,DEL VALLE,RIO ORINOCO PTE 314 DEL VALLE,"2",HU
"01","049","012",760.644417477,01 049 010,DEL VALLE,ORINOCO 314,"1",HU
"03","022","011",133.695553236,03 022 011,,MORELOS,"2",HU
"03","022","012",136.120912431,03 022 012,,MORELOS,"1",HU
"03","022","013",134.689309912,03 022 013,,MORELOS,"0",BU
"03","016","009",189.137491117,03 016 009,,,"0",HU
"03","016","010",725.777731335,03 016 010,SAN PEDRO,16 DE SEP 106,"1",HU
"03","016","019",209.292249423,03 016 019,,,"0",BU
"03","016","020",194.761023612,03 016 009,,JUAREZ 405,"2",HU
"25","166","114",43.8989818512,25 166 114,,,"0",HU
"09","010","085",413.370097411,09 010 085,,INDEPENDENCIA 161,"1",S
"09","010","065",680.374435108,09 010 065,,INDEPENDENCIA INT,"0",BU
"09","010","025",343.10372861,09 010 025,,INDEPENDENCIA 113,"0",BU
"09","010","093",347.854324361,09 010 093,SAN PEDRO,INDEPENDENCIA OTE 149 INT,"0",BU
"09","010","067",225.726361845,09 010 067,,INDEPENDENCIA OTE 125,"1",HU
"09","010","072",291.874698131,09 010 072,,INDEPENDENCIA 137,"2",HU
"09","010","222",213.360081559,09 010 222,,GUERRERO,"2",HU
"09","010","071",360.58982831,09 010 071,SAN PEDRO,INDEPENDENCIA 301,"2",HU
"02","003","001",9.21464936528,02 003 001,,ALDAMA E INDEPENDENCIA,"0",HU
"13","275","026",851.425150615,13 275 026,BOSQUES DE LA SIERRA,PRIV SIERRA CHICA L26 M275,"0",BU
"13","221","014",2771.8691002,13 221 014,,SIERRA BAJA L 14 M 221,"0",EA
"13","221","013",776.929131613,13 221 013,,S BAJA RES S VALLE,"0",BU
"10","000","904",22062.7666957,10 000 904,,,"0",BNU
"03","016","003",394.469074664,03 016 003,,16 DE SEPTIEMBRE OTE 110,"1",HU
"03","016","004",486.417143166,03 016 004,SAN PEDRO,16 DE SEPTIEMBRE OTE 110 INT,"0",BU
"03","042","008",132.335473885,03 042 008,,PRIVADA MORELOS M 42 L 8,"1",HU
"03","042","009",137.983099345,03 042 009,,PRIVADA MORELOS 210,"1",HU
"03","019","007",204.568818586,03 019 007,,CORREGIDORASUR 501,"2",HU
"03","019","002",1820.22317613,03 019 002,,5 DE MAYO 500 Y PRIV ALDAMA,"2",HU
"03","019","008",334.903093201,03 019 008,,5 DE MAYO,"0",HU
"03","019","011",329.076757544,03 019 011,,,"0",HU
"03","019","004",241.202801264,03 019 004,SAN PEDRO,CORREGIDORA SUR 555,"2",HU
"03","026","019",117.106824277,03 026 019,,GUERRERO 404 INT 3,"2",HU
"03","026","017",121.047054087,03 026 017,,GUERRERO 412,"2",HU
"03","026","018",122.051179674,03 026 018,,GUERRERO INT,"2",HU
"05","030","102",206.059347383,05 030 102,,,"0",HU
"05","030","103",197.943917599,05 030 103,,,"0",HU
"02","003","009",107.855150813,02 003 009,,INDEPENDENCIA PTE 150,"1",HU
"02","003","010",82.8454739324,02 003 010,,INDEPENDENCIA PTE 123,"1",HU
"02","003","011",163.339160255,02 003 011,,ALDAMA NTE 412,"1",HU
"09","004","008",224.986758934,09 004 008,,INDEPENDENCIA 227,"2",HU
"09","009","075",2085.38766673,09 009 075,,AVE STA BARBARA,"1",HU
"09","009","076",1703.7471424,09 009 076,,STA BARBARA INT,"0",BU
"01","091","001",506.559408597,01 091 001,,,"0",HU
"13","151","024",2583.87467877,13 151 024,,COATZACOALCOS L24 M151 INT B DEL VA,"0",IF
"13","270","001",243.729569816,13 270 001,BOSQUES DEL VALLE,BOSQUES DE ALMENDEROS 1106,"2",HU
"01","091","002",436.045861566,01 091 002,,RIO SUCHIATE NTE 205 DEL VALLE,"2",HU
"01","091","004",472.772236824,01 091 004,DEL VALLE,RIO POTOMAC PTE 214,"1",HU
"13","270","005",280.545372868,13 270 005,BOSQ DEL VALLE,B DE ENCINOS L5 M270,"2",HU
"13","270","004",225.443762146,13 270 004,BOSQUES DEL VALLE,B DE ALMENDROS L4 M270,"2",HU
"09","016","009",810.89493595,09 016 009,SAN PEDRO,JOSE VASCONCELOS 1223,"1",C
"09","016","027",1522.86624193,09 016 027,SAN PEDRO,VASCONCELOS 1225,"2",S
"01","041","022",1493.57981866,01 041 022,DEL VALLE,AV SAN PEDRO 208 Y 206,"2",C
"09","014","019",2177.38736046,09 014 019,,CALLEJON DE LOS AYALA L6 M14,"0",BU
"09","014","022",2477.16562213,09 014 022,,CALLEJON DE LOS AYALA L22 M14,"2",HM
"01","009","008",347.134220652,01 009 008,,RIO MISSOURI 410 DEL VALLE,"2",HU
"01","009","009",348.459125281,01 009 009,DEL VALLE,RIO MISSOURI PTE 410,"2",HU
"01","202","010",181.146942517,01 202 010,VALLE,JORDAN 128,"2",HM
"01","202","009",168.688649098,01 202 009,DEL VALLE,RIO JORDAN 126,"2",HM
"01","202","008",163.913094036,01 202 008,VALLE,JORDAN 124,"2",HM
"09","014","012",9779.32188426,09 014 012,,CALLEJON DE LOS AYALA,"1",HU
"09","014","018",1577.92863625,09 014 018,,CALLEJON DE CAPELLANIA 218,"1",HU
"09","014","026",1585.80552015,09 014 026,,CALLEJON DE CAPELLANIA,"2",HU
"09","015","094",1998.00164533,09 015 094,,AVE STA BARBARA/EL CENTENARIO,"0",BU
"01","094","009",667.798488145,01 094 009,DEL VALLE,RIO DE LA PLATA PTE 312,"2",HU
"01","094","008",798.94451473,01 094 008,DEL VALLE,RIO DE LA PLATA 312,"2",HU
"14","015","008",492.117972826,14 015 008,FUENTES DEL VALLE,R MISSOURI Y V CLODIA,"2",HU
"14","015","009",504.372160134,14 015 009,FUENTES DEL VALLE,VIA CLODIA 108,"1",HU
"14","020","012",1818.52934909,14 020 012,FUENTES DEL VALLE,V SACRA 103,"0",S
"01","040","046",272.031660868,01 040 046,DEL VALLE,RIO GUAYALEJO NTE 404,"1",HU
"01","040","033",1739.38371998,01 040 033,DEL VALLE,RIO GUAYALEJO NTE 404,"2",HU
"14","018","034",304.339999029,14 018 034,,,"0",HU
"14","019","010",602.790383175,14 019 010,,,"0",HU
"14","019","004",301.159353577,14 019 004,FUENTES DEL VALLE,VIA LATINA 204,"2",HU
"14","019","018",288.270368289,14 019 018,FUENTES DEL VALLE,VIA LATINA 204-A,"2",HU
"05","030","104",214.697111759,05 030 104,,,"0",HU
"05","030","105",193.646155046,05 030 105,,,"0",HU
"05","030","106",211.236493079,05 030 106,,,"0",HU
"03","031","001",7136.01015184,03 031 001,CENTRO,5 DE MAYO Y 2 DE ABRIL,"4",S
"03","027","001",7082.79348163,03 027 001,CENTRO,GUERRERO Y 16 DE SEP,"3",S
"13","270","002",189.702845287,13 270 002,BOSQUES DEL VALLE,B DE ALMENDROS L2 M270,"2",HU
"13","270","003",210.752485057,13 270 003,BOSQUES DEL VALLE,B DE ALMENDROS L3 M270,"2",HU
"13","270","006",241.61442671,13 270 006,BOSQUES DEL VALLE,B DE ENCINOS L6 M270,"2",HU
"13","270","012",216.08173887,13 270 012,BOSQUES DEL VALLE,BOSQUES DE ENCINOS L12 M269,"0",BU
"13","270","013",238.486162088,13 270 013,BOSQUES DEL VALLE,BOSQUES DE ENCINO L13 M269,"0",BU
"13","270","011",228.941950731,13 270 011,BOSQUES DEL VALLE,BOSQUES DE ENCINO L11 M269,"0",BU
"13","270","014",206.044128423,13 270 014,BOSQUES DEL VALLE,BOSQUES DE ENCINO L14 M269,"0",HU
"13","270","015",2001.04299498,13 270 022,,,"0",HU
"13","264","001",396.100898527,13 264 001,,,"0",HM
"13","264","002",192.859641776,13 264 002,BOSQUES DEL VALLE,BOSQUES DE ENCINAS L2 M264,"3",HU
"13","251","009",667.110084994,13 251 009,LOMAS DEL VALLE,OSCAR M PEREZ L9 M251,"2",HU
"13","251","004",686.538805993,13 251 004,,OSCAR M PEREZ 232 VALLE,"2",HU
"13","242","029",2254.26601438,13 242 029,RINCON DE LA MONTA/A,OSCAR M PEREZ L29,"0",BU
"13","269","010",279.497037056,13 269 010,BOSQUES DEL VALLE,BOSQUES DE ENCINO L10 M269,"0",BU
"13","269","008",189.551851426,13 269 008,BOSQUES DEL VALLE,BOSQUES DE ENCINO L8 M269,"0",HU
"13","269","009",175.766765973,13 269 009,BOSQUES DEL VALLE,BOSQUES DEL ENCINO L9 M269,"0",HU
"09","015","092",1208.59786667,09 015 092,,EL CENTENARIO,"1",HU
"09","015","091",830.385549784,09 015 091,,AREA DE CALLE,"0",HU
"09","015","089",1191.38758016,09 015 089,,CALLE INTERIOR LOTE D,"1",HU
"09","015","090",1224.9215944,09 015 090,,CALLE INTERIOR LOTE C,"1",HU
"09","015","093",1295.64615515,09 015 093,,AVE STA BARBARA 321-2,"1",HU
"09","015","070",3017.52798731,09 015 070,,AVE STA BARBARA Y CENTENARIO,"2",HU
"01","055","005",97.7330700625,01 055 005,DEL VALLE,RIO MADEIRA L10 M110,"2",HU
"01","055","017",530.799896321,01 055 017,DEL VALLE,RIO MISSISSIPPI 415,"2",HU
"09","014","005",2105.43330486,09 014 005,,,"0",BU
"09","014","027",3480.00220797,09 014 027,,CALLEJON DE CAPELLANIA,"2",HU
"14","021","015",503.133070811,14 021 015,FUENTES DEL VALLE,VIA SACRA 104,"1",HU
"14","021","025",504.587250988,14 021 025,FUENTES DEL VALLE,R MISSOURI 103,"1",S
"01","097","003",1189.01075185,01 097 003,JARDINES DEL VALLE,RIO PESQUERIA 150,"3",HM
"01","134","015",1050.40086953,01 134 015,DEL VALLE,RIO VOLGA 502 Y R TAMESIS,"2",HU
"03","028","004",766.811476774,03 028 004,,M GONZALEZ Y 5 DE MAYO 401,"2",HU
"03","028","011",194.341406254,03 028 011,,,"0",HU
"03","025","020",133.941310097,03 025 020,,16 DE SEPTIEMBRE L20 M25,"2",S
"03","025","019",213.02533572,03 025 014,,,"2",S
"03","025","009",656.325458691,03 025 009,,GALEANA Y M GONZALEZ,"1",HU
"03","025","010",246.288967527,03 025 010,,MANUEL GONZALEZ 317,"1",S
"05","053","065",106.674979498,05 053 065,,ZARAGOZA 333,"1",HU
"05","053","051",215.359295397,05 053 051,,ZARAGOZA SUR 345,"2",HU
"05","055","005",305.452547617,05 055 005,,,"0",HU
"05","055","006",281.959428677,05 055 006,,,"0",BU
"13","269","006",853.92243056,13 269 007,,,"1",HU
"28","009","025",460.934297979,28 009 025,,OLMOS L25 M9,"2",HU
"28","009","024",354.550368157,28 009 024,,OLMOS L24 M9,"2",HU
"28","009","013",356.019999806,28 009 013,COLONIAL LA SIERRA,COLONIAL DE LA SIERRA L13 M9,"0",HU
"28","009","015",344.397477525,28 009 015,,OLMOS L15 M9,"0",HU
"28","009","014",340.657649789,28 009 014,,OLMOS 621 RINCON DE LA SIER,"3",HU
"28","009","026",119.997087397,28 009 026,,,"0",EA
"28","009","005",354.746854984,28 009 005,,MANZANARES L5 M9,"3",HU
"28","011","005",369.705111407,28 011 005,COLONIAL LA SIERRA,OLMOS 610,"3",HU
"28","011","007",365.246561503,28 011 007,C DE LA SIERRA,OLMOS 610,"3",HU
